sender,sender_type,sender_id,timestamp,meta,,aud,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis,id,age,sex,edu,occ,ela,pat,ill,prt,pcr,pab
Instructions,html.Page,0,2022-07-11T15:46:09.345Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""file:///C:/Users/Proband%207/Desktop/RTE/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-120,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":609,""window_innerWidth"":1366,""window_innerHeight"":657,""devicePixelRatio"":1}",,,,1068292127,form submission,,,1069918.9,1069917.5,1608698,1614.1000000000931,1625373,1069924044,{},,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Change Background,canvas.Screen,1,2022-07-11T15:46:12.340Z,,,,,3004.841999999946,timeout,,,1072913.5,1072912204,1069907371,1069919.6,1069924044,1072928886,,,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Fixation,canvas.Screen,2_0_0_0,2022-07-11T15:46:14.512Z,,,1,AV,2171.7350000001024,timeout,,,1075085.7000000002,1075083993,1072912204,1072914.7000000002,1072928886,1075100621,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Stimulus,canvas.Screen,2_0_0_1,2022-07-11T15:46:14.607Z,,,1,AV,95.77600000007078,timeout,,,1075181.1,1075179.72,1075083993,1075086.2000000002,1075100621,1075196397,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Reaction,canvas.Screen,2_0_0_2,2022-07-11T15:46:14.821Z,,,1,AV,196.00299999979325,response,stim_detected,mousedown,1075394.7000000002,1075392.4,1075179.72,1075181.2000000002,1075196397,1075396575,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Trial,flow.Sequence,2_0_0,2022-07-11T15:46:14.821Z,,,1,AV,2463.5139999999665,completion,,,1075395.2000000002,1075392.4,1072912204,1072914.6,1072928886,1075396575,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Frame,canvas.Frame,2_0,2022-07-11T15:46:14.822Z,,,1,AV,2466.5139999999665,,,,1075395.7000000002,1075395.4,1072912204,1072913.9,1072928886,1075396575,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Fixation,canvas.Screen,2_1_0_0,2022-07-11T15:46:16.659Z,,,1,AV,1851.035000000149,timeout,,,1077232.6,1077230934,1075379898,1075399.2000000002,1075396575,1077247.61,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Stimulus,canvas.Screen,2_1_0_1,2022-07-11T15:46:16.759Z,,,1,AV,100.1569999998901,timeout,,,1077332.9,1077331091,1077230934,1077232.9,1077247.61,1077347767,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Reaction,canvas.Screen,2_1_0_2,2022-07-11T15:46:16.964Z,,,1,AV,188.73300000000745,response,stim_detected,mousedown,1077538.1,1077536.5,1077331091,1077333.2999999998,1077347767,1077548027,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Trial,flow.Sequence,2_1_0,2022-07-11T15:46:16.965Z,,,1,AV,2139.9250000000466,completion,,,1077538.9,1077536.5,1075379898,1075399.1,1075396575,1077548027,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Frame,canvas.Frame,2_1,2022-07-11T15:46:16.966Z,,,1,AV,2142.5250000001397,,,,1077539.4,1077539.1,1075379898,1075396.1,1075396575,1077548027,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Fixation,canvas.Screen,2_2_0_0,2022-07-11T15:46:19.161Z,,,0,V,2201.6729999999516,timeout,,,1079734.9,1079733021,1077531.35,1077540.7000000002,1077548027,1079749.7,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Stimulus,canvas.Screen,2_2_0_1,2022-07-11T15:46:19.261Z,,,0,V,99.83900000015274,timeout,,,1079834.6,1079832707,1079733021,1079735.2000000002,1079749.7,1079849539,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Reaction,canvas.Screen,2_2_0_2,2022-07-11T15:46:19.414Z,,,0,V,136.8609999998007,response,stim_detected,mousedown,1079988,1079986.4,1079832707,1079834.7999999998,1079849539,1079999632,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Trial,flow.Sequence,2_2_0,2022-07-11T15:46:19.415Z,,,0,V,2438.372999999905,completion,,,1079988.4,1079986.4,1077531.35,1077540.6,1077548027,1079999632,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Frame,canvas.Frame,2_2,2022-07-11T15:46:19.415Z,,,0,V,2440.472999999998,,,,1079988.7999999998,1079988.5,1077531.35,1077539.7000000002,1077548027,1079999632,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Fixation,canvas.Screen,2_3_0_0,2022-07-11T15:46:21.712Z,,,1,AV,2301.715000000084,timeout,,,1082285.9,1082284668,1079982955,1079989.9,1079999632,1082301347,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Stimulus,canvas.Screen,2_3_0_1,2022-07-11T15:46:21.812Z,,,1,AV,99.83599999989383,timeout,,,1082385.7000000002,1082384506,1082284668,1082286.2000000002,1082301347,1082401183,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Reaction,canvas.Screen,2_3_0_2,2022-07-11T15:46:21.945Z,,,1,AV,116.11699999985285,response,stim_detected,mousedown,1082518.9,1082517.2999999998,1082384506,1082385.9,1082401183,1082534644,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Trial,flow.Sequence,2_3_0,2022-07-11T15:46:21.946Z,,,1,AV,2517.6679999998305,completion,,,1082519.4,1082517.2999999998,1079982955,1079989.7999999998,1079999632,1082534644,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Frame,canvas.Frame,2_3,2022-07-11T15:46:21.946Z,,,1,AV,2519.96800000011,,,,1082519.7999999998,1082519.6,1079982955,1079989,1079999632,1082534644,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Fixation,canvas.Screen,2_4_0_0,2022-07-11T15:46:23.895Z,,,1,AV,1949.9249999998137,timeout,,,1084468.7999999998,1084467902,1082517967,1082521.2000000002,1082534644,1084484569,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Stimulus,canvas.Screen,2_4_0_1,2022-07-11T15:46:23.997Z,,,1,AV,101.4890000000596,timeout,,,1084570.7999999998,1084569374,1084467902,1084469.1,1084484569,1084586058,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Reaction,canvas.Screen,2_4_0_2,2022-07-11T15:46:24.128Z,,,1,AV,114.24199999985285,response,stim_detected,mousedown,1084702.1,1084700.2999999998,1084569374,1084571.2000000002,1084586058,1084719404,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Trial,flow.Sequence,2_4_0,2022-07-11T15:46:24.129Z,,,1,AV,2165.655999999726,completion,,,1084702.5,1084700.2999999998,1082517967,1082521.1,1082534644,1084719404,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Frame,canvas.Frame,2_4,2022-07-11T15:46:24.129Z,,,1,AV,2167.9560000000056,,,,1084702.7999999998,1084702.6,1082517967,1082520.2000000002,1082534644,1084719404,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Fixation,canvas.Screen,2_5_0_0,2022-07-11T15:46:25.815Z,,,0,V,1684.3809999998193,timeout,,,1086388.9,1086387108,1084702727,1084704.6,1084719404,1086403785,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Stimulus,canvas.Screen,2_5_0_1,2022-07-11T15:46:25.914Z,,,0,V,99.80300000007264,timeout,,,1086487.9,1086486914,1086387108,1086389.1,1086403785,1086503588,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Reaction,canvas.Screen,2_5_0_2,2022-07-11T15:46:26.112Z,,,0,V,180.7119999998249,response,stim_detected,mousedown,1086685.7999999998,1086684.2999999998,1086486914,1086488.1,1086503588,1086687346,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Trial,flow.Sequence,2_5_0,2022-07-11T15:46:26.112Z,,,0,V,1964.8959999997169,completion,,,1086686.2000000002,1086684.2999999998,1084702727,1084704.4,1084719404,1086687346,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Frame,canvas.Frame,2_5,2022-07-11T15:46:26.113Z,,,0,V,1966.8959999997169,,,,1086686.4,1086686.2999999998,1084702727,1084703,1084719404,1086687346,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Fixation,canvas.Screen,2_6_0_0,2022-07-11T15:46:27.916Z,,,1,AV,1818.3710000000428,timeout,,,1088489.9,1088489035,1086670669,1086687.6,1086687346,1088505717,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Stimulus,canvas.Screen,2_6_0_1,2022-07-11T15:46:28.016Z,,,1,AV,99.39000000013039,timeout,,,1088589.9,1088588431,1088489035,1088490.4,1088505717,1088605107,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Reaction,canvas.Screen,2_6_0_2,2022-07-11T15:46:28.145Z,,,1,AV,112.0930000001099,response,stim_detected,mousedown,1088718.7999999998,1088717.2000000002,1088588431,1088590.2000000002,1088605107,1088722035,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Trial,flow.Sequence,2_6_0,2022-07-11T15:46:28.145Z,,,1,AV,2029.8540000002831,completion,,,1088719.2000000002,1088717.2000000002,1086670669,1086687.5,1086687346,1088722035,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Frame,canvas.Frame,2_6,2022-07-11T15:46:28.146Z,,,1,AV,2032.0540000000037,,,,1088719.6,1088719.4,1086670669,1086686.7000000002,1086687346,1088722035,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Fixation,canvas.Screen,2_7_0_0,2022-07-11T15:46:29.717Z,,,1,A,1584.4240000001155,timeout,,,1090291,1090289781,1088705358,1088720.7000000002,1088722035,1090306459,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Stimulus,canvas.Screen,2_7_0_1,2022-07-11T15:46:29.817Z,,,1,A,99.85899999993853,timeout,,,1090391,1090389642,1090289781,1090291.2999999998,1090306459,1090406318,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Reaction,canvas.Screen,2_7_0_2,2022-07-11T15:46:30.031Z,,,1,A,196.88200000021607,response,stim_detected,mousedown,1090604.6,1090603.2000000002,1090389642,1090391.2999999998,1090406318,1090606594,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Trial,flow.Sequence,2_7_0,2022-07-11T15:46:30.031Z,,,1,A,1881.16500000027,completion,,,1090605,1090603.2000000002,1088705358,1088720.7000000002,1088722035,1090606594,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Frame,canvas.Frame,2_7,2022-07-11T15:46:30.032Z,,,1,A,1883.065000000177,,,,1090605.5,1090605.1,1088705358,1088719.7999999998,1088722035,1090606594,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Fixation,canvas.Screen,2_8_0_0,2022-07-11T15:46:31.635Z,,,1,A,1617.3329999998678,timeout,,,1092209.2000000002,1092207253,1090589917,1090606.6,1090606594,1092223927,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Stimulus,canvas.Screen,2_8_0_1,2022-07-11T15:46:31.735Z,,,1,A,100.51800000015646,timeout,,,1092309.2000000002,1092307767,1092207253,1092209.4,1092223927,1092324445,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Reaction,canvas.Screen,2_8_0_2,2022-07-11T15:46:31.937Z,,,1,A,184.65500000002794,response,stim_detected,mousedown,1092510.6,1092509.1,1092307767,1092309.4,1092324445,1092524.53,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Trial,flow.Sequence,2_8_0,2022-07-11T15:46:31.937Z,,,1,A,1902.5060000000522,completion,,,1092511,1092509.1,1090589917,1090606.6,1090606594,1092524.53,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Frame,canvas.Frame,2_8,2022-07-11T15:46:31.937Z,,,1,A,1904.5060000000522,,,,1092511.2999999998,1092511.1,1090589917,1090605.6,1090606594,1092524.53,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Fixation,canvas.Screen,2_9_0_0,2022-07-11T15:46:34.053Z,,,0,V,2118.273999999976,timeout,,,1094627.2000000002,1094626125,1092507853,1092512.6,1092524.53,1094642804,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Stimulus,canvas.Screen,2_9_0_1,2022-07-11T15:46:34.153Z,,,0,V,99.51499999989755,timeout,,,1094727.2000000002,1094725644,1094626125,1094627.5,1094642804,1094742319,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Reaction,canvas.Screen,2_9_0_2,2022-07-11T15:46:34.324Z,,,0,V,153.78100000019185,response,stim_detected,mousedown,1094897.7999999998,1094896.1,1094725644,1094727.4,1094742319,1094909419,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Trial,flow.Sequence,2_9_0,2022-07-11T15:46:34.324Z,,,0,V,2371.570000000065,completion,,,1094898.2000000002,1094896.1,1092507853,1092512.5,1092524.53,1094909419,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Frame,canvas.Frame,2_9,2022-07-11T15:46:34.325Z,,,0,V,2373.869999999879,,,,1094898.6,1094898.4,1092507853,1092511.6,1092524.53,1094909419,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Fixation,canvas.Screen,2_10_0_0,2022-07-11T15:46:36.321Z,,,1,A,2001.4760000000242,timeout,,,1096894.9,1096894216,1094892742,1094899.6,1094909419,1096910895,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Stimulus,canvas.Screen,2_10_0_1,2022-07-11T15:46:36.421Z,,,1,A,99.57700000004843,timeout,,,1096994.7000000002,1096993797,1096894216,1096895,1096910895,1097010472,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Reaction,canvas.Screen,2_10_0_2,2022-07-11T15:46:36.586Z,,,1,A,147.52799999993294,response,stim_detected,mousedown,1097159.9,1097158,1096993797,1096994.7000000002,1097010472,1097177508,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Trial,flow.Sequence,2_10_0,2022-07-11T15:46:36.586Z,,,1,A,2248.5810000000056,completion,,,1097160.2000000002,1097158,1094892742,1094899.6,1094909419,1097177508,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Frame,canvas.Frame,2_10,2022-07-11T15:46:36.587Z,,,1,A,2250.8809999998193,,,,1097160.5,1097160.2999999998,1094892742,1094898.7000000002,1094909419,1097177508,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Fixation,canvas.Screen,2_11_0_0,2022-07-11T15:46:39.042Z,,,1,A,2453.1419999999925,timeout,,,1099615.5,1099613963,1097160832,1097161.6,1097177508,1099630.65,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Stimulus,canvas.Screen,2_11_0_1,2022-07-11T15:46:39.140Z,,,1,A,98.64700000011362,timeout,,,1099714.4,1099712618,1099613963,1099615.7999999998,1099630.65,1099729297,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Reaction,canvas.Screen,2_11_0_2,2022-07-11T15:46:39.455Z,,,1,A,298.7029999999795,response,stim_detected,mousedown,1100029.2999999998,1100028,1099712618,1099714.7000000002,1099729297,1100046092,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Trial,flow.Sequence,2_11_0,2022-07-11T15:46:39.456Z,,,1,A,2850.4920000000857,completion,,,1100029.6,1100028,1097160832,1097161.6,1097177508,1100046092,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Frame,canvas.Frame,2_11,2022-07-11T15:46:39.456Z,,,1,A,2852.192000000272,,,,1100029.9,1100029.7000000002,1097160832,1097160.7000000002,1097177508,1100046092,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Fixation,canvas.Screen,2_12_0_0,2022-07-11T15:46:41.610Z,,,1,A,2152.1480000000447,timeout,,,1102184.2000000002,1102181557,1100029415,1100030.9,1100046092,1102198.24,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Stimulus,canvas.Screen,2_12_0_1,2022-07-11T15:46:41.709Z,,,1,A,99.39299999992363,timeout,,,1102283.4,1102280956,1102181557,1102184.5,1102198.24,1102297633,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Reaction,canvas.Screen,2_12_0_2,2022-07-11T15:46:41.856Z,,,1,A,130.86700000008568,response,stim_detected,mousedown,1102429.9,1102428.5,1102280956,1102283.6,1102297633,1102447701,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Trial,flow.Sequence,2_12_0,2022-07-11T15:46:41.856Z,,,1,A,2382.408000000054,completion,,,1102430.4,1102428.5,1100029415,1100030.7000000002,1100046092,1102447701,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Frame,canvas.Frame,2_12,2022-07-11T15:46:41.857Z,,,1,A,2384.408000000054,,,,1102430.6,1102430.5,1100029415,1100030,1100046092,1102447701,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Fixation,canvas.Screen,2_13_0_0,2022-07-11T15:46:43.660Z,,,0,V,1801.0080000001471,timeout,,,1104233.7000000002,1104232033,1102431024,1102431.7000000002,1102447701,1104248709,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Stimulus,canvas.Screen,2_13_0_1,2022-07-11T15:46:43.760Z,,,0,V,100.05099999997765,timeout,,,1104333.7999999998,1104332084,1104232033,1104234,1104248709,1104348.76,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Reaction,canvas.Screen,2_13_0_2,2022-07-11T15:46:43.937Z,,,0,V,161.03999999980442,response,stim_detected,mousedown,1104511.4,1104509.7999999998,1104332084,1104334,1104348.76,1104515725,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Trial,flow.Sequence,2_13_0,2022-07-11T15:46:43.938Z,,,0,V,2062.098999999929,completion,,,1104511.7999999998,1104509.7999999998,1102431024,1102431.6,1102447701,1104515725,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Frame,canvas.Frame,2_13,2022-07-11T15:46:43.938Z,,,0,V,2064.1990000000224,,,,1104512.2000000002,1104511.9,1102431024,1102430.7999999998,1102447701,1104515725,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Fixation,canvas.Screen,2_14_0_0,2022-07-11T15:46:46.212Z,,,1,AV,2285.5049999998882,timeout,,,1106785.7000000002,1106784548,1104499048,1104513.1,1104515725,1106801.23,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Stimulus,canvas.Screen,2_14_0_1,2022-07-11T15:46:46.311Z,,,1,AV,99.1840000001248,timeout,,,1106884.6,1106883738,1106784548,1106785.7999999998,1106801.23,1106900414,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Reaction,canvas.Screen,2_14_0_2,2022-07-11T15:46:46.458Z,,,1,AV,130.2860000000801,response,stim_detected,mousedown,1107032.4,1107030.7000000002,1106883738,1106884.7999999998,1106900414,1107033999,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Trial,flow.Sequence,2_14_0,2022-07-11T15:46:46.459Z,,,1,AV,2514.975000000093,completion,,,1107032.7999999998,1107030.7000000002,1104499048,1104513.1,1104515725,1107033999,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Frame,canvas.Frame,2_14,2022-07-11T15:46:46.459Z,,,1,AV,2517.274999999907,,,,1107033.2000000002,1107033,1104499048,1104512.2999999998,1104515725,1107033999,,grey,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Fixation,canvas.Screen,2_15_0_0,2022-07-11T15:46:48.447Z,,,1,A,2002.2700000000186,timeout,,,1109020.7000000002,1109019584,1107017323,1107034.2000000002,1107033999,1109036269,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Stimulus,canvas.Screen,2_15_0_1,2022-07-11T15:46:48.546Z,,,1,A,98.95799999986775,timeout,,,1109119.7000000002,1109118551,1109019584,1109021.2000000002,1109036269,1109135227,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Reaction,canvas.Screen,2_15_0_2,2022-07-11T15:46:48.954Z,,,1,A,391.57299999985844,response,stim_detected,mousedown,1109528.2000000002,1109526.7999999998,1109118551,1109119.9,1109135227,1109535673,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Trial,flow.Sequence,2_15_0,2022-07-11T15:46:48.955Z,,,1,A,2492.800999999745,completion,,,1109528.7000000002,1109526.7999999998,1107017323,1107034.1,1107033999,1109535673,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Frame,canvas.Frame,2_15,2022-07-11T15:46:48.955Z,,,1,A,2494.800999999745,,,,1109529,1109528.7999999998,1107017323,1107033.4,1107033999,1109535673,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Fixation,canvas.Screen,2_16_0_0,2022-07-11T15:46:50.613Z,,,1,A,1667.7080000001006,timeout,,,1111187.2999999998,1111186704,1109518996,1109530,1109535673,1111203381,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Stimulus,canvas.Screen,2_16_0_1,2022-07-11T15:46:50.714Z,,,1,A,100.09799999999814,timeout,,,1111287.7999999998,1111286802,1111186704,1111187.2999999998,1111203381,1111303479,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Reaction,canvas.Screen,2_16_0_2,2022-07-11T15:46:50.850Z,,,1,A,119.22100000013597,response,stim_detected,mousedown,1111424.1,1111422.7000000002,1111286802,1111288,1111303479,1111436.86,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Trial,flow.Sequence,2_16_0,2022-07-11T15:46:50.851Z,,,1,A,1887.0270000002347,completion,,,1111424.6,1111422.7000000002,1109518996,1109529.9,1109535673,1111436.86,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Frame,canvas.Frame,2_16,2022-07-11T15:46:50.851Z,,,1,A,1889.1269999998622,,,,1111424.9,1111424.7999999998,1109518996,1109529.2000000002,1109535673,1111436.86,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Fixation,canvas.Screen,2_17_0_0,2022-07-11T15:46:53.284Z,,,1,A,2436.6729999999516,timeout,,,1113858,1113856844,1111420184,1111426,1111436.86,1113873533,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Stimulus,canvas.Screen,2_17_0_1,2022-07-11T15:46:53.382Z,,,1,A,97.88999999989755,timeout,,,1113956.1,1113954749,1113856844,1113858.2999999998,1113873533,1113971423,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Reaction,canvas.Screen,2_17_0_2,2022-07-11T15:46:53.595Z,,,1,A,196.2770000002347,response,stim_detected,mousedown,1114169.4,1114167.7000000002,1113954749,1113956.4,1113971423,1114172.02,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Trial,flow.Sequence,2_17_0,2022-07-11T15:46:53.596Z,,,1,A,2730.840000000084,completion,,,1114169.7000000002,1114167.7000000002,1111420184,1111425.7999999998,1111436.86,1114172.02,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
Frame,canvas.Frame,2_17,2022-07-11T15:46:53.596Z,,,1,A,2733.0399999998044,,,,1114170.1,1114169.9,1111420184,1111425.1,1111436.86,1114172.02,,black,RT21GR26,36,f,5,2,Verkaeuferin,0,0,0,0,0
